NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra,
CD-BE3-50.5,BACK RING HEGA 50.5,1,UNIDAD,REPUESTOS,16/11/2021,160.96,COR,
CD-BE3-50.7,RING DEFLECTOR HEGA 50.7,2,UNIDAD,REPUESTOS,16/11/2021,144.68,COR,
CD-BE3-52.3,CASQUILLO DISTANCIADOR 52.3,1,UNIDAD,REPUESTOS,16/11/2021,"3,670.55",COR,
CD-BE3-52.32,SHAFTS LEEVE(MECHANICAL SEAL) 52.32,2,UNIDAD,REPUESTOS,16/11/2021,"4,643.68",COR,
CD-BE3-52.5,CASQUILLO DISTANCIADOR 52.5,2,UNIDAD,REPUESTOS,16/11/2021,"4,014.66",COR,
CD-BE3-9210,NUT SHAFT 9210,1,UNIDAD,REPUESTOS,16/11/2021,767.78,COR,
CD-BE3-93.2,SEEGER RING 93.2,1,UNIDAD,REPUESTOS,16/11/2021,155.41,COR,
CD-BE3-94,KEY 94,1,UNIDAD,REPUESTOS,16/11/2021,119.14,COR,
CD-BE3-94.02,KEY 94.02,2,UNIDAD,REPUESTOS,16/11/2021,53.65,COR,
CD-BE4-2110,SHAFT HEGA 2110,1,UNIDAD,REPUESTOS,18/11/2021,"13,608.32",COR,
CD-BE4-32.1,BEARING 32.1,2,UNIDAD,REPUESTOS,18/11/2021,"2,135.46",COR,
CD-BE4-41.1,O-RING 41.1,2,UNIDAD,REPUESTOS,18/11/2021,4.185,COR,
CD-BE4-41.11,SEALING RING 41.11,4,UNIDAD,REPUESTOS,18/11/2021,8.375,COR,
CD-BE4-41.2,O-RING 41.2,6,UNIDAD,REPUESTOS,18/11/2021,50.245,COR,
CD-BE4-41.21,O-RING 41.21,2,UNIDAD,REPUESTOS,18/11/2021,12.56,COR,
CD-BE4-45.2,GLAND 45.2,2,UNIDAD,REPUESTOS,18/11/2021,"2,554.18",COR,
CD-BE4-46.1,ANILLO DE EMPAQUETADURA 46.1,20,UNIDAD,REPUESTOS,18/11/2021,"1,046.79",COR,
CD-BE4-50.5,BACK RING HEGA 50.5,1,UNIDAD,REPUESTOS,18/11/2021,171.67,COR,
CD-BE4-50.7,RING DEFLECTOR HEGA 50.7,2,UNIDAD,REPUESTOS,18/11/2021,159.11,COR,
CD-BE4-52.3,CASQUILLO DISTANCIADOR 52.3,1,UNIDAD,REPUESTOS,18/11/2021,"4,061.56",COR,
CD-BE4-52.4,CASQUILLO P.E 52.4,2,UNIDAD,REPUESTOS,18/11/2021,"5,108.35",COR,
CD-BE4-52.5,CASQUILLO DISTANCIADOR 52.5,2,UNIDAD,REPUESTOS,18/11/2021,"4,438.41",COR,
CD-BE4-93.2,SEEGER RING 93.2,1,UNIDAD,REPUESTOS,18/11/2021,171.67,COR,
CD-BE4-94,KEY 94,1,UNIDAD,REPUESTOS,18/11/2021,125.62,COR,
CD-BE4-94.01,KEY 94.01,6,UNIDAD,REPUESTOS,18/11/2021,41.87,COR,
CD-BE4-94.02,KEY 94.02,2,UNIDAD,REPUESTOS,18/11/2021,62.81,COR,
CD-BE-52.40,CAMISA DE EJE 52.40,2,UNIDAD,REPUESTOS,25/10/2022,"2,211.60",COR,
CD-BV-1,KIT OF SPARES SHAFT 1,1,UNIDAD,REPUESTOS,18/11/2021,"36,557.77",COR,
CD-BV-1370-3,GUIDE DISC 1370-3,2,UNIDAD,REPUESTOS,18/11/2021,"6,545.95",COR,
CD-BV-1371,GUIDE DISC 1371,2,UNIDAD,REPUESTOS,18/11/2021,"6,316.26",COR,
CD-BV-17.1,DIFFUSER HEGA 17.1,5,UNIDAD,REPUESTOS,18/11/2021,"5,107.80",COR,
CD-BV-2,BASIC REPAIR KIT 2,1,UNIDAD,REPUESTOS,18/11/2021,"18,144.90",COR,
CD-BV-23,IMPELLER HEGA 50 23,6,UNIDAD,REPUESTOS,18/11/2021,"5,308.79",COR,
CI002,BANDA C-75,19,UNIDAD,CORREAS INDUSTRIALES,21/04/2023,26.55,USD,
CI004,BANDA D&D SPB3825,24,UNIDAD,CORREAS INDUSTRIALES,28/06/2022,55.016,USD,
CI005,BANDA C-80,14,UNIDAD,CORREAS INDUSTRIALES,21/04/2023,26.95,USD,
CI007,BANDA D&D SPB5900,14,UNIDAD,CORREAS INDUSTRIALES,28/06/2022,118.001,USD,
CI008,CORREA SPB9000,20,UNIDAD,CORREAS INDUSTRIALES,16/07/2022,112.183,USD,
CI009,CORREA DENTADA 3VX265,3,UNIDAD,CORREAS INDUSTRIALES,03/12/2022,12.213,USD,
CI010,CORREA D&D SPC 5900,12,UNIDAD,CORREAS INDUSTRIALES,28/01/2023,116.9,USD,
CI011,BANDA SKF B-54,1,UNIDAD,CORREAS INDUSTRIALES,09/03/2023,8.497,USD,
CI012,BANDA SKF B-52,1,UNIDAD,CORREAS INDUSTRIALES,09/03/2023,8.128,USD,
CI013,CORREA D&D SPC2120,15,UNIDAD,CORREAS INDUSTRIALES,01/04/2023,36.24,USD,
CI014,CORREA D&D SPC3750,12,UNIDAD,CORREAS INDUSTRIALES,01/04/2023,65.4,USD,
CI015,CORREA D&D SPB1450,1,UNIDAD,CORREAS INDUSTRIALES,08/01/2025,541.28,COR,
CI016,CORREA D&D XPB1400,18,UNIDAD,CORREAS INDUSTRIALES,01/04/2023,18.75,USD,
CI018,CORREA SKF  DE 8 CARRILES 8PK1650,1,UNIDAD,CORREAS INDUSTRIALES,28/06/2023,"1,065.22",COR,
CI020,CORREA D&D SPC3450,16,UNIDAD,CORREAS INDUSTRIALES,06/07/2023,72,USD,
CI021,BANDA XPB 2280,7,UNIDAD,CORREAS INDUSTRIALES,22/03/2024,"1,247.00",COR,
CI023,BANDA SPBX 1700,1,UNIDAD,CORREAS INDUSTRIALES,31/01/2024,931,COR,
CI024,CORREA XPA 1180 (8010009090),10,UNIDAD,CORREAS INDUSTRIALES,14/05/2024,"2,177.22",COR,
CI026,BANDA SPB 3100,44,UNIDAD,CORREAS INDUSTRIALES,29/10/2025,"1,816.47",COR,
CI029,BANDA SPB 2250,10,UNIDAD,CORREAS INDUSTRIALES,27/12/2024,"2,620.64",COR,
CI030,BANDA SPB 3070,10,UNIDAD,CORREAS INDUSTRIALES,29/01/2025,"1,924.00",COR,
CI031,BANDA SPB 2850,7,UNIDAD,CORREAS INDUSTRIALES,15/07/2025,"1,776.00",COR,
CI032,BANDA SPB 1500,40,UNIDAD,CORREAS INDUSTRIALES,29/10/2025,"1,549.95",COR,
CI034,BANDA SPC 2950,12,UNIDAD,CORREAS INDUSTRIALES,18/07/2025,"3,535.73",COR,
CI036,BANDA SPC 3025,20,UNIDAD,CORREAS INDUSTRIALES,19/09/2025,"3,316.61",COR,
CI037,BANDA SPC 2050,20,UNIDAD,CORREAS INDUSTRIALES,19/09/2025,"2,110.57",COR,
CI038,BANDA SPC 3500,10,UNIDAD,CORREAS INDUSTRIALES,19/09/2025,"3,316.61",COR,
CI039,BANDA SPB 1350,3,UNIDAD,CORREAS INDUSTRIALES,19/09/2025,"1,809.06",COR,
CI040,BANDA SPB 2050,10,UNIDAD,CORREAS INDUSTRIALES,19/09/2025,"1,507.55",COR,
EQS001,BARBIQUEJOS PARA CASCO DE SEGURIDAD,9,UNIDAD,EQUIPOS DE SEGURIDAD,15/01/2021,1.35,USD,
EQS002,BOTA DE HULE COLOR NEGRA DINOSAURIO,18,PAR,EQUIPOS DE SEGURIDAD,27/09/2025,328.74,COR,
EQS006,LENTE DE PLICARBONATO MICA GRIS NEMESIS,32,UNIDAD,EQUIPOS DE SEGURIDAD,02/10/2025,124.24,COR,
EQS007,TAPON AUDITIVO CON CORDON,378,UNIDAD,EQUIPOS DE SEGURIDAD,10/10/2025,13.9,COR,
EQS008,PANTALLA PROTECTORA TRANSPARENTE PARA ESMERILAR,13,UNIDAD,EQUIPOS DE SEGURIDAD,23/07/2025,110,COR,
EQS015,FAJA LUMBAR NEGRA,93,UNIDAD,EQUIPOS DE SEGURIDAD,10/10/2025,228,COR,
EQS016,GUANTES DE NITRILO 13 Pulgadas,5,PAR,EQUIPOS DE SEGURIDAD,26/02/2025,256.5,COR,
EQS018,CAPOTE 2 PIEZAS,26,UNIDAD,EQUIPOS DE SEGURIDAD,06/06/2025,490,COR,
EQS020,BOTA PREDATOR CON PUNTERA,62,PAR,EQUIPOS DE SEGURIDAD,22/10/2025,660,COR,
EQS027,LINEA DE VIDA C/AMORTIGUADOR,4,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,"3,705.00",COR,
EQS034,MASCARA PARA ESMERILAR LINCOLN ELECTRIC,9,UNIDAD,EQUIPOS DE SEGURIDAD,02/10/2025,316.32,COR,
EQS037,GUANTE P/ SOLDAR LARGO FORRADO C/ REFUERZO EN PALMA,13,PAR,EQUIPOS DE SEGURIDAD,15/10/2025,393,COR,
EQS038,DELANTAL DE CUERO CARNAZA P/SOLDAR 60X90 CM,31,UNIDAD,EQUIPOS DE SEGURIDAD,06/06/2025,454.3,COR,
EQS040,POLAINA D/CUERO P/SOLDAR S/PROTECCION,35,PAR,EQUIPOS DE SEGURIDAD,25/04/2025,423.89,COR,
EQS045,MEDIA MASCARA 3M,26,UNIDAD,EQUIPOS DE SEGURIDAD,02/10/2025,361,COR,
EQS054,BOTA SEG. P/ACERO ANTIDESLIZANTE,23,PAR,EQUIPOS DE SEGURIDAD,04/10/2025,"2,150.00",COR,
EQS055,MANGA DE CUERO PARA SOLDAR,45,PAR,EQUIPOS DE SEGURIDAD,06/06/2025,380,COR,
EQS057,FILTRO P/PARTICULAS 3M 7093C,30,UNIDAD,EQUIPOS DE SEGURIDAD,09/07/2025,188,COR,
EQS060,CAMILLA PLASTICA DE POLIETILENO,3,UNIDAD,EQUIPOS DE SEGURIDAD,03/09/2025,"8,231.80",COR,
EQS061,INMOBILIZADOR DE CABEZA,2,UNIDAD,EQUIPOS DE SEGURIDAD,18/01/2017,"2,891.50",COR,
EQS062,KIT DE FERULAS MEDICAS,1,UNIDAD,EQUIPOS DE SEGURIDAD,18/01/2017,"3,612.00",COR,
EQS063,INMOBILIZADOR DE CUELLO CERVICAL,4,UNIDAD,EQUIPOS DE SEGURIDAD,29/08/2025,850,COR,
EQS065,GUANTES DE CUERO,26,PAR,EQUIPOS DE SEGURIDAD,02/10/2025,129,COR,
EQS069,OREJERA ACOPLE A CASCO,5,UNIDAD,ACCESORIOS,10/10/2025,549.35,COR,
EQS075,CASCOS DE SEGURIDAD,25,UNIDAD,EQUIPOS DE SEGURIDAD,10/10/2025,210.41,COR,
EQS079,GUANTES DESECHABLES,41,CAJA,EQUIPOS DE SEGURIDAD,23/07/2025,195.5,COR,
EQS082,SUJETADOR PARA CASCO,11,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,45,COR,
EQS087,MASCARILLA DESECHABLE,42,UNIDAD,EQUIPOS DE SEGURIDAD,15/08/2025,121,COR,
EQS093,GUANTE FULL NITRILO PUÑO LONA,14,PAR,EQUIPOS DE SEGURIDAD,23/10/2024,136.23,COR,
EQS094,MONOGAFAS DE SEGURIDAD,39,UNIDAD,EQUIPOS DE SEGURIDAD,27/09/2025,387,COR,
EQS098,LALIZAS ARO SALVA VIDAS,14,UNIDAD,EQUIPOS DE SEGURIDAD,31/07/2024,"1,442.10",COR,
EQS101,DELANTAL DE PVC REFORZADO,12,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,212.03,COR,
EQS109,MASCARILLAS REUTILIZABLES,899,UNIDAD,EQUIPOS DE SEGURIDAD,24/09/2022,40,COR,
EQS119,HARNESS AS 398-1562,1,UNIDAD,EQUIPOS DE SEGURIDAD,24/06/2021,35.78,USD,
EQS121,OVEROL DRILL CORRIENTE BOTONES ESCONDIDOS 2 LOGOS,10,UNIDAD,EQUIPOS DE SEGURIDAD,15/10/2025,"1,250.00",COR,
EQS122,CINTURÓN DE SEGURIDAD DE NYLON D LATERAL,2,UNIDAD,EQUIPOS DE SEGURIDAD,15/01/2021,51.53,USD,
EQS125,CHALECO REFLECTIVO,40,UNIDAD,EQUIPOS DE SEGURIDAD,22/10/2025,185,COR,
EQS128,OVEROLL DESECHANBLE,5,UNIDAD,EQUIPOS DE SEGURIDAD,16/04/2025,322,COR,
EQS131,BOTA EXCAVATOR WP BEIGEMAY CATERPILLAR,1,PAR,EQUIPOS DE SEGURIDAD,27/08/2025,"6,033.74",COR,
EQS134,VIDRIO OSCURO P/MASCARA SOLDAR #13,156,UNIDAD,EQUIPOS DE SEGURIDAD,04/10/2022,5.218,COR,
EQS135,CHIN DE SEGURIDAD (GORRO),16,UNIDAD,EQUIPOS DE SEGURIDAD,17/12/2022,194.663,COR,
EQS136,VIDRIO OSCURO P/MASCARA SOLDAR #11,6,UNIDAD,EQUIPOS DE SEGURIDAD,03/09/2024,13.88,COR,
EQS137,GAFAS PARA SOLDAR C/CRISTALES,13,UNIDAD,EQUIPOS DE SEGURIDAD,04/10/2025,296.49,COR,
EQS138,REDUCTOR DE VELOCIDAD AMARILLO/NEGRO,2,UNIDAD,EQUIPOS DE SEGURIDAD,16/07/2022,87.866,USD,
EQS139,ESPOLON PARA ESCALAR,1,UNIDAD,EQUIPOS DE SEGURIDAD,03/09/2022,368,USD,
EQS140,LENTE EXTERNA CASCO APOLO 600 CONTRACTOR 2024,6,UNIDAD,EQUIPOS DE SEGURIDAD,22/09/2022,35.678,COR,
EQS142,CUBRE ZAPATOS DE SEGURIDAD CON PUNTERA DE ACERO,4,UNIDAD,EQUIPOS DE SEGURIDAD,24/09/2022,"1,113.82",COR,
EQS143,VIDRIO OSCURO REDONDO #6,28,UNIDAD,EQUIPOS DE SEGURIDAD,13/03/2023,13.92,COR,
EQS148,MASCARA FULL FACE M2100,4,UNIDAD,EQUIPOS DE SEGURIDAD,12/02/2025,"3,500.00",COR,
EQS150,EXTINGUIDOR 20 LB DIOXIDO DE CARBONO,2,UNIDAD,EQUIPOS DE SEGURIDAD,09/05/2025,"4,211.80",COR,
EQS151,FILTRO STEELPRO SHE-500 P100,34,UNIDAD,EQUIPOS DE SEGURIDAD,20/10/2023,7.84,USD,
EQS152,STOPPER P/ESTACION MANUAL P/INTERPERIE,6,UNIDAD,EQUIPOS DE SEGURIDAD,31/07/2023,"4,179.49",COR,
EQS154,ARNES DE NYLON 3 ARGOLLAS,3,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,"1,222.71",COR,
EQS155,SOMBRERO CON CUBRE NUCA,22,UNIDAD,EQUIPOS DE SEGURIDAD,10/09/2025,291.44,COR,
EQS157,ECOFILTRO COLOR CELESTE,4,UNIDAD,EQUIPOS DE SEGURIDAD,27/03/2023,66.316,USD,
EQS160,LINEA DE VIDA / CABLE DE ACERO,4,UNIDAD,EQUIPOS DE SEGURIDAD,08/08/2025,"6,312.46",COR,
EQS161,GUANTES DIELECTRICOS COLOR NEGRO 14 Pulgadas CLASE 0,14,PAR,EQUIPOS DE SEGURIDAD,24/08/2023,64.392,USD,
EQS162,PROTECTOR DE GUANTE DIELECTRICO,4,PAR,EQUIPOS DE SEGURIDAD,24/08/2023,28.773,USD,
EQS164,RETENEDOR PLÁSTICO PARA PREFILTRO SERIE 6000,1,PAR,EQUIPOS DE SEGURIDAD,30/11/2023,116,COR,
EQS165,PREFILTRO UNIVERSAL PARA PARTÍCULAS N95,2,PAR,EQUIPOS DE SEGURIDAD,30/11/2023,105,COR,
EQS167,OVEROL DRILL DE TELA CON PROTECCION PARA QUÍMICOS,4,UNIDAD,EQUIPOS DE SEGURIDAD,12/03/2025,"1,757.50",COR,
EQS168,VIDRIO CLARO P/MASCARA SOLDAR,25,UNIDAD,EQUIPOS DE SEGURIDAD,03/09/2024,4.328,COR,
EQS169,VIDRIO OSCURO P/MASCARA SOLDAR #12,22,UNIDAD,EQUIPOS DE SEGURIDAD,15/05/2024,30.16,COR,
EQS173,GUANTES DIELECTRICOS CLASE2 TENSIONES MENORES DE 17000V,3,PAR,EQUIPOS DE SEGURIDAD,30/08/2024,"9,934.64",COR,
EQS174,GUANTES DIELECTRICOS CLASE00 TENSIONES MENORES DE 500V,2,PAR,EQUIPOS DE SEGURIDAD,30/08/2024,"3,478.90",COR,
EQS175,DETECTOR DE HUMO DE BATERIA,15,UNIDAD,EQUIPOS DE SEGURIDAD,25/04/2025,624.312,COR,
EQS176,FILTRO CONTRA PARTICULAS CON CABON ACTIVADO,39,UNIDAD,EQUIPOS DE SEGURIDAD,07/05/2025,950,COR,
EQS177,GUANTES ANTI IMPACTO,10,PAR,EQUIPOS DE SEGURIDAD,02/10/2025,473,COR,
EQS178,FILTRO PARA VAPORES ORGANICOS 6001,26,UNIDAD,EQUIPOS DE SEGURIDAD,02/10/2025,531.573,COR,
EQS179,GUANTES DIELECTRICOS AISLANTES 40KV CLASE 4,1,PAR,EQUIPOS DE SEGURIDAD,21/03/2025,"15,860.63",COR,
EQS180,GUANTES RECUBIERTOS DE POLIURETANO,1,PAR,EQUIPOS DE SEGURIDAD,21/03/2025,99.63,COR,
EQS181,VIDRIO OSCURO P/MASCARA SOLDAR #10,32,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,45,COR,
EQS182,ARNES PARA SOLDADOR 4 ARGOLLAS,2,UNIDAD,EQUIPOS DE SEGURIDAD,04/04/2025,"5,747.52",COR,
EQS183,GUANTE ANTICORTE NIVEL 6,109,PAR,EQUIPOS DE SEGURIDAD,03/09/2025,275.35,COR,
EQS184,GUANTE DE NITRILO 18 Pulgadas,16,PAR,EQUIPOS DE SEGURIDAD,06/06/2025,260,COR,
EQS186,GUANTE ANTICORTE NIVEL 7,46,PAR,EQUIPOS DE SEGURIDAD,10/10/2025,308.87,COR,
EQS187,POLAINA VIBORERA,7,PAR,EQUIPOS DE SEGURIDAD,22/10/2025,"1,869.33",COR,
ES-ET-12,DRIVE SHAFT Ø140 X 2950MM,8,UNIDAD,REPUESTOS,01/02/2022,"59,938.54",COR,
ES-ET-12A,DRIVE SPROCKET,2,UNIDAD,REPUESTOS,29/01/2025,"31,474.56",COR,
ES-ET-12B,DRIVE HUB,1,UNIDAD,REPUESTOS,22/01/2024,"31,423.65",COR,
ES-ET-17,LINK CHAIN C/W ATTACHMENT,354,METROS,REPUESTOS,16/10/2023,"1,491,470.92",COR,
ES-ET-18,CS HYDRAULIC TENSIONER - CSC2018,1,UNIDAD,REPUESTOS,22/01/2024,"58,891.87",COR,
ES-ET-19,DRIVEN SHAFT  5X140MMX2700 MML,7,UNIDAD,REPUESTOS,22/01/2024,"81,122.83",COR,
ES-ET-19A,DRIVEN WHEEL SPROCKET,9,UNIDAD,REPUESTOS,22/01/2024,"32,705.50",COR,
ET-ES-10,CS FLEXIBLE COUPLING 10 Pulgadas BUSH 55.02  16X60 PIN 50.02  14 X53.5,4,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"21,655.02",COR,
ET-ES-11,CB5000L SQUARE SHAFT VDP5011,2,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"99,514.18",COR,
ET-ES-11A,CS DRIVE PACKING GLAND HOUSING CSC2011A,12,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"6,227.72",COR,
ET-ES-11B,TEFLON PACKING CSC2011B,36,UNIDAD,REPUESTOS MODIPALM,25/10/2021,482.477,COR,
ET-ES-11C,DRIVEN PACKING GLAND HOUSING COVER CSC2011C,26,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"6,227.72",COR,
ET-ES-12,CB5000L LINER (S/STEEL) 4.5MM VDP5012,5,UNIDAD,REPUESTOS MODIPALM,28/04/2023,"141,319.47",COR,
ET-ES-13,PLUMMER BLOCK BEARING SNH528  CSC2013,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"46,472.39",COR,
ET-ES-16,SCRAPPER BAR C/W BOLD AND NUT 80MMX1930MM CSC2016,4,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"188,837.81",COR,
ET-ES-16A,H.T BOLT & NUT M24X65 P/N CSC2016A,990,UNIDAD,REPUESTOS MODIPALM,05/10/2022,81.1,COR,
ET-ES-18A,CS DRIVEN PACKING GLAND HOUSING 170X126X38MM P/N CSC2018A,6,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"9,489.13",COR,
ET-ES-18B,CS DRIVEN TEFLON PACKING P/N CSC2018Bº,48,UNIDAD,REPUESTOS MODIPALM,05/10/2022,527.17,COR,
ET-ES-18C,CS DRIVEN PACKING GLAND HOUSING COVER 170X126X25MM P/N CSC2018C,6,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"2,635.87",COR,
ET-ES-21,CSC BEARING HOUSING CBT 328 (COMPLETE SET) P/N CSC2021,4,UNIDAD,REPUESTOS MODIPALM,16/03/2025,"60,187.69",COR,
ET-ES-22,CAW SHACKLE CONNECTOR CSC2022,17,UNIDAD,REPUESTOS MODIPALM,27/05/2025,"4,809.99",COR,
ET-ES-23,CS SS STEAM PIPE CSC2023,129,UNIDAD,REPUESTOS MODIPALM,25/10/2021,"1,551.68",COR,
ET-ES-6,TRANSMISION SPROCKET CSC2006,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"21,249.16",COR,
ET-ES-65,DOOR GASKET SEAL (65 METER/ROLL),260,METROS,REPUESTOS MODIPALM,29/10/2021,223.44,COR,
ET-ES-7,TRANSMISION SPROCKET CSC2007,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"36,780.51",COR,
EX-DI-02,CB5000L STEAM PIPE 2 Pulgadas,4,UNIDAD,REPUESTOS,28/04/2023,"16,159.12",COR,
EX-DI-10,CB5000L OIL SEAL 110X140X14 VDP5010,10,UNIDAD,REPUESTOS MODIPALM,05/10/2022,446.07,COR,
EX-DI-13,CB5000L SHORT ARMS VDP5013,1,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"4,299.33",COR,
EX-DI-15,CB5000L EXPELLER ARMS  VDP5015,8,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"8,291.38",COR,
EX-DI-15A,CB5000L BOLTS & NUTS 1 PulgadasX7 Pulgadas VDP5015A,14,UNIDAD,REPUESTOS MODIPALM,01/11/2021,60.195,COR,
EX-DI-16,CB5000L SHAFT HOLDER  VDP5016,6,UNIDAD,REPUESTOS MODIPALM,01/02/2022,"5,223.54",COR,
EX-DI-17,CB5000L BUSH HARDEN 80X64X125L VDP5017,8,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"3,771.32",COR,
EX-DI-18,CB5000L BOTTOM PLATE (M/STEEL)15MM VDP5018,5,UNIDAD,REPUESTOS,29/01/2025,"47,662.50",COR,
EX-DI-1A,CB5000L LOCK NUT (COUPLING)  VDP5001A,7,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"10,221.78",COR,
EX-DI-1F,FLEXIBLE COUPLING FEMALE VDP5001F,1,UNIDAD,REPUESTOS MODIPALM,08/01/2022,"35,597.96",COR,
EX-DI-1M,FLEXIBLE COUPLING MALE  VDP5001M,1,UNIDAD,REPUESTOS MODIPALM,08/01/2022,"35,597.96",COR,
EX-DI-20,CB5000L V-BLOCK  VDP5020,18,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"3,456.97",COR,
EX-DI-25,CB5000L GEAR BOX PULLEY (3025 3020)  VDP5025,4,SET,REPUESTOS MODIPALM,01/11/2021,"27,591.32",COR,
EX-DI-28,CB5000L GREASE CAP N°6 VDP5028,8,UNIDAD,REPUESTOS MODIPALM,01/11/2021,"1,371.38",COR,
EX-DI-6,CB5000L SPHERICAL ROLLER BEARING 22222E  VDP5006,2,UNIDAD,REPUESTOS MODIPALM,26/09/2025,"8,165.00",COR,
EX-DI-62,BOLT & NUT (M/STEEL) 1 PulgadasX14 Pulgadas,160,UNIDAD,REPUESTOS MODIPALM,22/01/2024,292.994,COR,
EX-DI-64,BOLT & NUT (M/STEEL) 1 PulgadasX7 Pulgadas,2,UNIDAD,REPUESTOS MODIPALM,05/10/2022,162.21,COR,
EX-DI-6A,CB5000L SPACER (INSIDE) VDP5006A,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"1,743.73",COR,
EX-DI-7,TAPER ROLLER BEARING 32222 VDP5007,5,UNIDAD,REPUESTOS MODIPALM,12/11/2024,"8,090.25",COR,
EX-DI-8,CB5000L BEARING COVER PLATE VDP5008,5,UNIDAD,REPUESTOS MODIPALM,29/10/2021,"2,672.19",COR,
EX-DI-8A,CB5000L SPACER (OUTSIDE) VDP5008A,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"2,189.80",COR,
EX-DI-9,CB5000L BEARING HOUSING  VDP509,12,UNIDAD,REPUESTOS MODIPALM,28/04/2023,"12,264.91",COR,
EX-PR-11,CB15T PRESS CAGE 3X4MM SPA1511,17,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"272,580.70",COR,
EX-PR-14,CB15T STRAINER  SPA1514,7,UNIDAD,REPUESTOS MODIPALM,12/08/2024,"10,356.78",COR,
EX-PR-15B,CB15T THRUST RING,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"7,056.02",COR,
EX-PR-15T,CB15T SPACER (C/IRON),22,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"5,910.80",COR,
EX-PR-17,CB15T BEARING COVER PLATE SPA1517,16,UNIDAD,REPUESTOS MODIPALM,10/11/2021,"4,814.35",COR,
EX-PR-17A,CB15T PAPER GASKET SPA1517A,15,UNIDAD,REPUESTOS MODIPALM,05/10/2022,446.07,COR,
EX-PR-18,CB15T REINFORCEMENT BAR SPA1518,62,UNIDAD,REPUESTOS MODIPALM,10/11/2021,379.13,COR,
EX-PR-19,CB15T OIL SEAL 120X150X14 SPA1519,22,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"6,398.08",COR,
EX-PR-21L,CB15T SPUR GEAR (HARDEN) LHS SPA1521L,3,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"21,451.92",COR,
EX-PR-21R,CB15T SPUR GEAR (HARDEN) RHS SPA1521R,3,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"21,451.92",COR,
EX-PR-26,SPHERICAL ROLLER TRUST BEARING 29320E SPA1526,4,UNIDAD,REPUESTOS,16/10/2023,"80,108.44",COR,
EX-PR-27,CB15T SPHERICAL ROLLER BEARING 22220E SPA1527,5,UNIDAD,REPUESTOS,05/05/2025,"8,758.94",COR,
EX-PR-28A,CB15T OIL SEAL 100X130X13 SPA1528A,3,UNIDAD,REPUESTOS,02/02/2023,707.61,COR,
EX-PR-29,CB15T LOCKING COLLAR  SPA1529,12,UNIDAD,REPUESTOS,05/10/2022,"2,352.01",COR,
EX-PR-29A,CB15T TRUST RING SPA1529A,6,UNIDAD,REPUESTOS,22/01/2024,"6,958.62",COR,
EX-PR-3,STABILIZER,2,UNIDAD,REPUESTOS,01/02/2022,"10,696.29",COR,
EX-PR-30,CB15T TAPER SPACER  SPA1530,17,UNIDAD,REPUESTOS,16/10/2023,"8,896.75",COR,
EX-PR-30A,CB15T LOCK NUT (KM19) SPA1530A,17,UNIDAD,REPUESTOS,18/11/2021,"1,451.98",COR,
EX-PR-30B,CB15T LOCK WASHER (MB19)  SPA1530B,16,UNIDAD,REPUESTOS,18/11/2021,887.32,COR,
EX-PR-31,CB15T LEFT HAND COVER SPA1531,8,UNIDAD,REPUESTOS,22/01/2024,"5,237.28",COR,
EX-PR3-10,BEARING COVER P/N 10,4,UNIDAD,REPUESTOS,02/02/2023,"6,368.47",COR,
EX-PR3-14,WORM SCREW (L.H.S) (R.H.S) (1SET=2PCS),3,UNIDAD,REPUESTOS,12/08/2024,"52,430.07",COR,
EX-PR3-14T,OIL SEAL 160X130X14,23,UNIDAD,REPUESTOS,02/02/2023,707.61,COR,
